COD_S11,GENDER,EDU_FATHER,EDU_MOTHER,OCC_FATHER,OCC_MOTHER,STRATUM,SISBEN,PEOPLE_HOUSE,,INTERNET,TV,COMPUTER,WASHING_MCH,MIC_OVEN,CAR,DVD,FRESH,PHONE,MOBILE,REVENUE,JOB,SCHOOL_NAME,SCHOOL_NAT,SCHOOL_TYPE,MAT_S11,CR_S11,CC_S11,BIO_S11,ENG_S11,Cod_SPro,UNIVERSITY,ACADEMIC_PROGRAM,QR_PRO,CR_PRO,CC_PRO,ENG_PRO,WC_PRO,FEP_PRO,G_SC,PERCENTILE,2ND_DECILE,QUARTILE,SEL,SEL_IHE
SB11201420276038,F,Incomplete primary ,Complete Secundary,Independent,Home,Stratum 2,Level 2,Four,,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Between 1 and less than 2 LMMW,No,INSTITUCION EDUCATIVA SAN ISIDORO,PUBLIC,ACADEMIC,72,60,70,63,73,EK201830088006,"FUNDACION UNIVERSIDAD DE BOGOTA""JORGE TADEO LOZANO""-BOGOTÁ D.C.",CHEMICAL ENGINEERING,85,49,50,79,72,79,163,75,4,4,1,3
SB11201420277935,F,Incomplete primary ,Complete primary ,Independent,Home,Stratum 1,Level 1,Seven,,No,Yes,Yes,Yes,No,Yes,No,No,No,No,less than 1 LMMW,No,COLEGIO TECNICO AGROPECUARIO,PUBLIC,TECHNICAL/ACADEMIC,62,55,58,63,58,EK201830195666,UNIVERSIDAD DE PAMPLONA-PAMPLONA,INDUSTRIAL ENGINEERING,75,44,63,59,76,168,158,69,4,3,1,1
SB11201420278149,M,Complete Secundary,Complete Secundary,Independent,Independent,Stratum 3,Level 2,Four,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 5 and less than 7 LMMW,No,INST MILIT AQUILEO PARRA,PRIVATE,ACADEMIC,50,55,57,58,66,EK201830233254,UNIVERSIDAD ECCI-BOGOTÁ D.C.,MECHANICAL ENGINEERING,50,37,10,77,36,130,139,39,2,2,3,2
SB11201420279620,F,Ninguno,Incomplete Secundary,Operator,Home,Stratum 1,Level 2,Six,,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Between 5 and less than 7 LMMW,No,INST EDUC HECTOR ABAD GOMEZ,PUBLIC,TECHNICAL/ACADEMIC,39,47,52,41,44,EK201830104424,UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD-BOGOTÁ D.C.,ELECTRONIC ENGINEERING,81,66,66,79,48,156,163,75,4,4,2,1
SB11201420282021,M,Complete Secundary,Complete Secundary,Other occupation,Auxiliary or Administrative,Stratum 1,Level 2,Three,,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,No,I.E.M. NORMAL SUPERIOR DE PASTO,PUBLIC,TECHNICAL/ACADEMIC,74,62,65,76,75,EK201830144543,UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.,CIVIL ENGINEERING,94,46,97,61,56,179,170,82,5,4,2,4
SB11201420284808,M,Complete technique or technology,Complete professional education,Home,Home,Stratum 1,Level 1,Five,,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,less than 1 LMMW,No,INSTITUCION EDUCATIVA BERTHA GEDEON DE BALADI,PUBLIC,ACADEMIC,67,65,66,69,61,EK201830226164,UNIVERSIDAD TECNOLOGICA DE BOLIVAR-CARTAGENA,MECHANICAL ENGINEERING,93,90,42,81,29,138,166,78,4,4,2,2
SB11201420285346,F,Complete Secundary,Complete professional education,Technical or professional level employee,Executive,Stratum 3,It is not classified by the SISBEN,Three,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,ESC. NORMAL SUPERIOR DISTRITAL MARIA MONTESSORI (IED),PUBLIC,TECHNICAL/ACADEMIC,66,69,60,70,53,EK201830087984,"FUNDACION UNIVERSIDAD DE BOGOTA""JORGE TADEO LOZANO""-BOGOTÁ D.C.",CHEMICAL ENGINEERING,97,87,89,57,80,57,180,91,5,4,2,3
SB11201420285651,F,Complete Secundary,Complete professional education,Other occupation,Home,Stratum 2,Level 2,Five,,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Between 1 and less than 2 LMMW,No,INSTITUCION EDUCATIVA TECNICA PEDRO PABON PARGA,PUBLIC,TECHNICAL,61,63,61,72,55,EK201830179846,ESCUELA DE ADMINISTRACION Y MERCADOTECNIA DEL QUINDIO-ARMENIA,INDUSTRIAL ENGINEERING,68,82,66,67,89,164,169,82,5,4,1,2
SB11201420286128,F,Not sure,Complete technique or technology,Other occupation,Home,Stratum 2,It is not classified by the SISBEN,Five,,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Between 1 and less than 2 LMMW,No,I.E.M. NORMAL SUPERIOR DE PASTO,PUBLIC,TECHNICAL/ACADEMIC,56,58,57,62,55,EK201830023926,UNIVERSIDAD MARIANA-PASTO,CIVIL ENGINEERING,81,57,18,49,92,148,155,64,4,3,2,2
SB11201420286682,F,Complete primary ,Complete Secundary,Independent,Home,Stratum 2,Level 2,Five,,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,No,COLEGIO CIUDAD DEL SOL,PRIVATE,ACADEMIC,67,60,77,70,70,EK201830144507,UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.,CIVIL ENGINEERING,98,91,82,83,92,194,189,96,5,4,1,4
